Airport1,Airport2,TotalReservations
KPBI,KTEB,17
KHPN,KPBI,14
KIAD,KPBI,10
KMIA,KTEB,7
KMDW,KTEB,6
KAUS,KMAF,6
KEGE,KTEB,6
KDAL,KTEB,6
KSJC,KSNA,6
KLAS,KSNA,6
KBOS,KPBI,6
KPBI,MYNN,5
KSJC,KVNY,5
KOPF,KTEB,5
KTEB,TXKF,4
KHPN,KJAC,4
KEGE,KHPN,4
KAUS,KMEM,4
KSGR,MMSD,4
KRDU,KTEB,4
KCLT,KTEB,4
KTEB,MYNN,4
KCMH,KROA,4
KHPN,KSUA,4
KRIL,KVNY,3
KBFI,KSNA,3
KRIL,KSDL,3
KDAL,KIAD,3
KSGR,MYNN,3
KSBA,KSJC,3
KSBA,KTEB,3
KEGE,KPWK,3
KASE,KTEB,3
KAUS,KDAL,3
KFTY,KTEB,3
KFLL,TQPF,3
KFLL,MYNN,3
KFTW,KHOU,3
KAUS,MMPR,3
KPVD,KTEB,3
CYYZ,KPBI,3
CYYZ,KTEB,3
KSNA,KSUN,3
KASE,KMIA,3
KAPF,KRIC,3
KAPF,KRDU,3
KHPN,KMIA,3
KHPN,KVRB,3
KHPN,TAPA,3
KFTY,KOPF,3
KHOU,KMAF,3
KAPF,KBNA,3
KIAD,KTEB,3
KIAD,KTTN,3
KMMU,MYAM,3
KAPA,KSDL,3
KMSP,KSLC,3
KMRY,KVNY,3
KMIA,KPWK,3
KAPF,KPWK,3
KMCO,KPDK,3
KJZI,KTEB,3
KLAS,KLAX,3
KIAD,KPDX,3
KBZN,KSFO,3
KAPF,KDAL,3
KBZN,KDAL,3
KDAL,KLEX,3
KCMH,KFLL,3
KBZN,KHPN,3
KBCT,KHPN,3
KBDL,KBZN,3
KBHM,KPBI,3
KBOS,KBZN,3
KSUA,KTEB,3
KTEB,KTEB,2
KBED,KSRQ,2
KBPT,KPHL,2
KBTR,KDTS,2
KBOS,KSLC,2
KBOS,KSUA,2
KBOS,KTEB,2
KBOS,KLGA,2
KBOS,KOPF,2
KBOS,KPHL,2
KBOS,KCHS,2
KBNA,KPBI,2
KBNA,KTEB,2
KBNA,KBZN,2
KBJC,KSNA,2
KBHM,KSDF,2
KBHM,KJWN,2
KBHM,KMGM,2
KBHM,KPIA,2
KVRB,MYNN,2
KTPA,MYAM,2
KTPA,MYNN,2
KTUL,KUGN,2
